********************************************************************************
product = WebSphere Application Server 19.0.0.2 (wlp-1.0.25.cl190220190222-1311)
wlp.install.dir = C:/Users/LucasAlvesdaSilva/git/VinicJavaCloudant/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-11.0.2
java.version = 11.0.2
java.runtime = Java(TM) SE Runtime Environment (11.0.2+9-LTS)
os = Windows 10 (10.0; amd64) (pt_BR)
process = 9684@LAPTOP-5SIHVQ0G
********************************************************************************
[22/03/2019 11:12:26:662 BRT] 00000029 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Um arquivo de configuração para um plug-in de servidor da web foi automaticamente gerado para este servidor em C:\Users\LucasAlvesdaSilva\git\VinicJavaCloudant\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[22/03/2019 11:12:26:801 BRT] 00000026 .ibm.ws.jaxrs.2.0.common:1.0.25.cl190220190222-1311(id=190)] I Setting the server's publish address to be /api/
[22/03/2019 11:12:27:075 BRT] 00000026 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [JavaCloudantApp] [/JavaCloudantApp] [javax.ws.rs.core.Application]: Inicialização bem sucedida.
[22/03/2019 11:16:04:727 BRT] 00000014 com.ibm.ws.kernel.launch.internal.ServerCommandListener      A CWWKE0055I: Encerramento do servidor solicitado em sexta-feira, 22 de março de 2019 às 11:16. O servidor defaultServer está sendo encerrado.
[22/03/2019 11:16:04:733 BRT] 00000036 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  A CWWKE1100I: Aguardando até 30 segundos para o servidor ser colocado em modo quiesce.
[22/03/2019 11:16:04:763 BRT] 0000001d com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0220I: O Canal TCP defaultHttpEndpoint interrompeu o atendimento das solicitações no host *  (IPv6) porta 9080.
[22/03/2019 11:16:04:766 BRT] 0000001d com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Aplicativo da Web removido (default_host): http://laptop-5sihvq0g:9080/JavaCloudantApp/
[22/03/2019 11:16:05:770 BRT] 00000036 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  I CWWKE1101I: Colocação em modo quiesce do servidor concluída.
[22/03/2019 11:16:05:807 BRT] 0000002d com.ibm.ws.webcontainer.servlet                              I SRVE0253I: [JavaCloudantApp] [/JavaCloudantApp] [javax.ws.rs.core.Application]: Destruição bem sucedida.
[22/03/2019 11:16:05:925 BRT] 0000002d com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: O aplicativo JavaCloudantApp foi interrompido com sucesso.
[22/03/2019 11:16:06:045 BRT] 00000036 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0009I: O serviço de segurança parou.
[22/03/2019 11:16:06:082 BRT] 00000036 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1124I:  O plug-in de autenticação coletivo com o nome de classe NullCollectiveAuthenticationPlugin foi desativado. 
[22/03/2019 11:16:06:972 BRT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0036I: O servidor defaultServer foi interrompido depois de 4 minutos, 6,786 segundos.
